,Durat,Flags,Flows,Packets Bytes,Prot,Port
153,0.0,SA_,126,2,TCP,25
154,0.0,INT,60,1,UDP,43607
155,0.237,PA_,732,3,TCP,25
156,0.4270000000000001,PA_,120,2,TCP,0
157,0.0,INT,81,1,UDP,1039
158,0.0,INT,86,1,UDP,0
159,0.0,INT,481,1,UDP,8080
160,4.672,SPA_,2233,12,TCP,48241
161,0.34299999999999997,PA_,1167,4,TCP,0
162,0.0,INT,72,1,UDP,25
163,0.0,INT,75,1,UDP,53
164,0.0,INT,60,1,UDP,25
165,0.0,INT,66,1,UDP,33755
166,0.98,S_,186,3,TCP,8000
167,0.0,INT,74,1,UDP,8080
168,0.0,INT,90,1,UDP,0
169,0.0,FA_,66,1,TCP,51435
170,0.0,INT,501,1,UDP,51517
171,4.748,PA_,15608,56,TCP,25
172,4.918,PA_,82873,57,TCP,58450
173,1.564,PA_,11036,14,TCP,60514
174,0.0,INT,133,1,UDP,25
175,0.24600000000000002,PA_,216,3,TCP,1025
176,3.202,SPA_,33066,494,TCP,6667
177,0.0,INT,127,1,UDP,0
178,0.0,INT,107,1,UDP,0
179,0.046,_FSPA,398,3,TCP,25
180,0.0,INT,60,1,UDP,25
181,0.0,INT,64,1,UDP,25
182,4.918,A_,198,3,TCP,25
183,0.0,INT,133,1,UDP,1025
184,1.001,RA_,180,3,TCP,1040
185,0.0,INT,133,1,UDP,25
186,0.0,INT,60,1,UDP,5678
187,4.265,PA_,330,4,TCP,21
188,0.0,INT,133,1,UDP,0
189,0.001,A_,120,2,TCP,2051
190,0.0,INT,140,1,UDP,43821
191,0.0,RA_,60,1,TCP,37103
192,0.15,A_,126,2,TCP,25
193,0.0,INT,2895,3,UDP,6667
194,0.0,INT,60,1,UDP,0
195,0.0,INT,107,1,UDP,25
196,2.309,FSPA_,735,6,TCP,25
197,0.0,INT,60,1,UDP,25
198,0.078,PA_,120,2,TCP,0
199,0.059000000000000004,PA_,647,7,TCP,44252
200,0.0,INT,95,1,UDP,51803
201,0.0,A_,198,3,TCP,0
202,0.0,INT,133,1,UDP,55552
203,0.0,INT,133,1,UDP,25
204,0.0,INT,147,1,UDP,0
205,0.0,RA_,60,1,TCP,0
206,4.849,PA_,39816,31,TCP,1025
207,0.0,INT,206,1,UDP,25
208,0.0,INT,81,1,UDP,0
209,0.0,INT,133,1,UDP,25
210,0.0,INT,133,1,UDP,21
211,3.2680000000000002,PA_,184,2,TCP,25
212,0.0,INT,122,1,UDP,0
213,0.0,INT,81,1,UDP,25
214,0.0,INT,133,1,UDP,0
215,0.0,INT,133,1,UDP,59116
216,2.0,INT,180,2,UDP,80
217,0.289,PA_,184,3,TCP,25
218,0.0,INT,107,1,UDP,25
219,0.0,INT,107,1,UDP,25
220,0.0,INT,133,1,UDP,25
221,0.0,INT,77,1,UDP,1025
222,0.0,INT,481,1,UDP,25
223,0.0,INT,62,1,UDP,6667
224,0.0,INT,81,1,UDP,25
225,0.0,PA_,335,1,TCP,44107
226,0.14,PA_,390,4,TCP,0
227,0.0,INT,481,1,UDP,41099
228,0.0,INT,181,1,UDP,8081
229,0.0,INT,133,1,UDP,8000
230,0.195,PA_,2750,4,TCP,25
231,0.0,INT,300,1,UDP,25
232,0.0,INT,81,1,UDP,25
233,0.0,INT,133,1,UDP,0
234,0.0,PA_,594,1,TCP,25
235,0.0,SA_,66,1,TCP,3883
236,0.0,INT,60,1,UDP,81
237,1.598,SRPA_,1559,9,TCP,25
238,0.24600000000000002,_FSPA,812,3,TCP,25
239,0.0,INT,76,1,UDP,41541
240,0.0,A_,66,1,TCP,33230
241,0.0,INT,127,1,UDP,44460
242,0.023,PA_,931,2,TCP,44681
243,0.0,A_,60,1,TCP,42380
244,0.0,INT,75,1,UDP,25
245,0.052000000000000005,_FSPA,1305,5,TCP,2730
246,0.0,INT,112,1,UDP,55866
247,0.0,INT,481,1,UDP,2054
248,0.0,INT,418,2,UDP,25
249,0.0,INT,220,1,UDP,25
250,0.0,INT,61,1,UDP,1037
251,0.0,INT,332,1,UDP,2072
252,0.42100000000000004,PA_,183,3,TCP,0
253,0.0,RA_,60,1,TCP,0
254,0.0,FA_,120,2,TCP,25
255,0.0,INT,81,1,UDP,53
256,0.0,A_,66,1,TCP,1082
257,0.0,PA_,233,1,TCP,8081
258,0.0,INT,75,1,UDP,0
259,0.0,INT,137,2,UDP,25
260,0.0,INT,73,1,UDP,25
261,0.0,INT,60,1,UDP,25
262,0.0,INT,164,1,UDP,25
263,0.0,INT,63,1,UDP,1082
264,0.0,INT,112,1,UDP,60061
265,4.9910000000000005,PA_,91558,63,TCP,1041
266,0.0,RA_,60,1,TCP,0
267,0.0,A_,60,1,TCP,37748
268,0.0,INT,79,1,UDP,113
269,0.0,INT,81,1,UDP,25
270,0.0,INT,77,1,UDP,25
271,0.0,PA_,60,1,TCP,1037
272,0.0,PA_,60,1,TCP,6667
273,0.0,URP,100,1,ICMP,35303
274,0.0,INT,74,1,UDP,25
275,4.806,INT,730,2,UDP,5678
276,4.023,PA_,281,4,TCP,34005
277,2.02,INT,296,2,UDP,4480
278,0.0,URP,135,1,ICMP,39069
279,0.6579999999999999,PA_,2515,13,TCP,0
280,0.004,_FSPA,4559,5,TCP,25
281,0.0,INT,87,1,UDP,25
282,0.0,INT,72,1,UDP,808
283,0.0,INT,418,2,UDP,25
284,0.0,INT,73,1,UDP,25
285,4.98,PA_,34845268,23016,TCP,0
286,4.977,A_,3540,59,TCP,0
287,0.0,FA_,132,2,TCP,1080
288,0.389,PA_,318,4,TCP,53
289,0.124,PA_,659,5,TCP,0
290,0.0,INT,60,1,UDP,25
291,0.0,INT,81,1,UDP,9999
292,0.0,INT,74,1,UDP,25
293,0.0,INT,152,1,UDP,0
294,0.0,INT,73,1,UDP,8080
295,0.0,INT,60,1,UDP,52728
296,0.052000000000000005,PA_,120,2,TCP,1039
297,0.0,INT,111,1,UDP,44194
298,0.0,INT,70,1,UDP,25
299,0.0,INT,133,1,UDP,25
300,4.728,A_,1800,30,TCP,80
301,0.0,INT,80,1,UDP,25
302,0.0,A_,66,1,TCP,25
303,0.215,PA_,859,2,TCP,25
304,2.022,INT,358,2,UDP,3128
305,0.0,PA_,167,1,TCP,25
306,1.8430000000000002,RA_,180,3,TCP,0
307,0.0,URP,135,1,ICMP,8090
308,0.0,INT,81,1,UDP,1025
309,0.0,INT,90,1,UDP,25
310,0.0,INT,78,1,UDP,48935
311,0.0,A_,66,1,TCP,1025
312,0.0,A_,60,1,TCP,43471
313,2.532,PA_,134,2,TCP,0
314,0.0,INT,60,1,UDP,5678
315,0.374,PA_,1561,2,TCP,25
316,0.0,INT,75,1,UDP,6663
317,4.71,PA_,2052,8,TCP,57445
318,0.0,A_,66,1,TCP,80
319,0.006999999999999999,_FSPA,2181,5,TCP,48155
320,0.0,INT,60,1,UDP,25
321,0.0,INT,143,1,UDP,58360
322,0.0,INT,60,1,UDP,0
323,0.0,INT,60,1,UDP,25
324,0.0,INT,168,1,UDP,1025
325,0.012,PA_,548,3,TCP,25
326,0.0,INT,81,1,UDP,25
327,0.177,PA_,136,2,TCP,25
328,2.279,_FSPA,2276,5,TCP,53
329,4.026,SA_,132,2,TCP,53
330,0.413,INT,530,3,UDP,53201
331,0.231,SPA_,1343,4,TCP,25
332,0.0,INT,74,1,UDP,0
333,0.045,SPA_,615,4,TCP,2869
334,0.0,FPA_,112,1,TCP,6588
335,4.692,PA_,327609,739,TCP,8082
336,0.0,INT,60,1,UDP,10080
337,2.4130000000000003,URP,1180,2,ICMP,21
338,0.39899999999999997,PA_,189,2,TCP,53
339,0.0,INT,74,1,UDP,25
340,0.0,INT,108,1,UDP,25
341,0.0,INT,110,1,UDP,21
342,0.0,INT,98,1,UDP,0
343,0.008,SA_,126,2,TCP,25
344,0.0,INT,107,1,UDP,8080
345,0.184,PA_,402,2,TCP,1037
346,0.0,INT,425,2,UDP,0
347,0.0,INT,60,1,UDP,3246
348,0.0,INT,129,1,UDP,0
349,2.997,S_,148,2,TCP,25
350,0.0,A_,60,1,TCP,25
351,3.005,PA_,466,4,TCP,25
352,0.0,INT,112,1,UDP,6667
353,0.0,INT,148,1,UDP,53
354,0.0,INT,163,1,UDP,25
355,0.0,INT,143,1,UDP,59826
356,1.325,PA_,4625,15,TCP,6663
357,0.0,PA_,60,1,TCP,0
358,0.0,INT,133,1,UDP,0
359,4.998,SPA_,376462,6265,TCP,21
360,0.0,INT,81,1,UDP,25
361,0.9620000000000001,PA_,411,6,TCP,25
362,0.0,INT,76,1,UDP,80
363,0.077,INT,564,2,UDP,25
364,0.0,INT,60,1,UDP,0
365,3.906,INT,520,4,UDP,81
366,0.0,INT,62,1,UDP,25
367,0.094,PA_,147,2,TCP,0
368,0.0,INT,66,1,UDP,52542
369,0.0,INT,133,1,UDP,54821
370,0.0,INT,75,1,UDP,25
371,4.989,PA_,129478,95,TCP,25
372,0.243,FSPA_,1166,5,TCP,8000
373,0.0,RA_,60,1,TCP,8082
374,0.0,INT,132,1,UDP,46108
375,0.0,INT,60,1,UDP,46388
376,0.07,PA_,695,7,TCP,0
377,0.0,INT,60,1,UDP,0
378,0.0,A_,60,1,TCP,6667
379,0.0,INT,200,1,UDP,25
380,0.19699999999999998,PA_,666,3,TCP,443
381,0.0,INT,619,1,UDP,0
382,0.34,SPA_,1261,5,TCP,2050
383,0.0,INT,76,1,UDP,0
384,0.0,INT,71,1,UDP,53
385,0.0,INT,229,1,UDP,3128
386,2.84,PA_,40169,36,TCP,80
387,0.038,A_,132,2,TCP,25
388,0.0,INT,133,1,UDP,25
389,0.0,INT,84,1,UDP,0
390,4.939,SPA_,2753,26,TCP,25
391,0.193,PA_,129,2,TCP,44950
392,0.0,INT,60,1,UDP,43831
393,0.0,INT,180,1,UDP,25
394,1.2670000000000001,RA_,180,3,TCP,25
395,0.0,INT,133,1,UDP,5678
396,0.0,INT,82,1,UDP,1025
397,0.0,INT,108,1,UDP,25
398,0.0,INT,619,1,UDP,25
399,0.0,INT,71,1,UDP,0
400,4.957,PA_,5648,16,TCP,49937
401,0.161,FSRPA_,1743,7,TCP,0
402,0.0,INT,180,1,UDP,25
403,0.0,INT,78,1,UDP,25
404,0.0,INT,60,1,UDP,43430
405,0.225,FSPA_,699,5,TCP,5678
406,0.6559999999999999,RA_,120,2,TCP,0
407,4.64,PA_,1354,15,TCP,44409
408,4.9910000000000005,A_,6204,94,TCP,25
409,0.0,INT,234,1,UDP,0
410,0.0,INT,81,1,UDP,25
411,0.0,INT,84,1,UDP,9999
412,0.0,A_,60,1,TCP,0
413,0.0,FA_,60,1,TCP,53
414,0.33299999999999996,PA_,1363,3,TCP,25
415,0.0,INT,455,1,UDP,3128
416,0.4,PA_,209,3,TCP,41201
417,0.0,INT,141,1,UDP,25
418,0.0,INT,133,1,UDP,9000
419,0.0,INT,62,1,UDP,25
420,4.371,PA_,1128,18,TCP,0
421,0.0,INT,89,1,UDP,25
422,0.0,INT,74,1,UDP,38977
423,0.19399999999999998,PA_,129,2,TCP,0
424,0.0,INT,133,1,UDP,42595
425,0.0,INT,133,1,UDP,53
426,0.12300000000000001,_FSPA,1448,13,TCP,0
427,0.064,PA_,12474,11,TCP,1082
428,0.0,INT,62,1,UDP,0
429,4.942,PA_,13236,49,TCP,25
430,1.619,_FSPA,1176,4,TCP,25
431,0.0,INT,95,1,UDP,1025
432,4.819,PA_,1336,15,TCP,25
433,0.0,INT,98,1,UDP,25
434,0.0,INT,63,1,UDP,25
435,0.0,INT,95,1,UDP,25
436,1.646,PA_,346,5,TCP,3947
437,0.0,INT,82,1,UDP,25
438,0.0,INT,72,1,UDP,6667
439,0.0,INT,199,1,UDP,25
440,4.968999999999999,INT,1794,26,UDP,0
441,0.0,INT,60,1,UDP,25
442,0.0,INT,249,1,UDP,46232
443,0.0,INT,482,1,UDP,0
444,3.258,PA_,649,8,TCP,25
445,2.406,A_,132,2,TCP,39073
446,0.0,INT,2896,3,UDP,0
447,0.201,PA_,26701,19,TCP,1037
448,0.0,INT,81,1,UDP,0
449,0.0,INT,81,1,UDP,25
450,0.0,INT,87,1,UDP,53
451,0.0,FA_,60,1,TCP,6667
452,0.0,INT,61,1,UDP,25
453,4.227,PA_,755,5,TCP,25
454,4.716,URP,1017,2,ICMP,39768
455,0.0,INT,75,1,UDP,1082
456,4.999,SPA_,1853,13,TCP,49756
457,0.001,ECO,148,2,ICMP,1040
458,0.0,INT,62,1,UDP,1027
459,0.0,INT,179,1,UDP,59496
460,0.0,INT,60,1,UDP,25
461,0.8420000000000001,PA_,213,3,TCP,0
462,0.0,INT,73,1,UDP,25
463,2.122,_FSPA,7815,9,TCP,33125
464,0.015,PA_,278,2,TCP,0
465,0.0,PA_,60,1,TCP,25
466,0.0,INT,74,1,UDP,0
467,0.0,INT,132,1,UDP,5678
468,1.172,PA_,407,2,TCP,1182
469,4.966,A_,6072,92,TCP,25
470,0.0,INT,60,1,UDP,0
471,0.235,_FSA,186,3,TCP,0
472,0.561,INT,519,2,UDP,25
473,0.0,A_,60,1,TCP,5678
474,0.0,INT,192,1,UDP,1040
475,0.33799999999999997,PA_,2288,3,TCP,25
476,0.0,INT,138,1,UDP,0
477,0.0,INT,60,1,UDP,25
478,2.545,SPA_,23803,217,TCP,80
479,0.0,INT,72,1,UDP,25
480,0.0,INT,61,1,UDP,8080
481,0.0,INT,128,1,UDP,25
482,0.006999999999999999,_FSPA,411,2,TCP,34933
483,0.0,INT,455,1,UDP,23
484,0.0,FA_,66,1,TCP,25
485,0.0,INT,81,1,UDP,46301
486,0.0,INT,74,1,UDP,25
487,0.012,PA_,749,4,TCP,0
488,0.0,INT,60,1,UDP,0
489,0.0,INT,60,1,UDP,8000
490,0.207,FSPA_,969,14,TCP,6667
491,4.1080000000000005,PA_,134,2,TCP,0
492,0.0,A_,60,1,TCP,1039
493,3.2560000000000002,SPA_,522,4,TCP,51185
494,0.0,INT,82,1,UDP,3128
495,1.2770000000000001,SRPA_,786,6,TCP,25
496,0.0,URP,173,1,ICMP,4480
497,0.395,FSPA_,1208,5,TCP,25
498,0.0,INT,84,1,UDP,0
499,0.0,INT,141,1,UDP,25
500,0.0,INT,76,1,UDP,25
501,0.0,FA_,120,2,TCP,23
502,0.0,INT,60,1,UDP,52833
503,0.0,INT,167,1,UDP,8888
504,0.0,FA_,66,1,TCP,2066
505,0.525,PA_,123,2,TCP,2069
506,0.0,INT,81,1,UDP,21
507,0.0,INT,78,1,UDP,6667
508,0.0,INT,90,1,UDP,25
509,0.0,A_,66,1,TCP,25
510,0.0,INT,181,1,UDP,53
511,0.0,INT,210,1,UDP,25
512,0.0,INT,240,1,UDP,0
513,0.038,A_,132,2,TCP,1337
514,0.0,INT,74,1,UDP,25
515,2.296,_FSPA,2276,5,TCP,59706
516,0.0,INT,62,1,UDP,53
517,0.18899999999999997,PA_,1535,2,TCP,1538
518,0.0,INT,60,1,UDP,0
519,0.0,URH,70,1,ICMP,0
520,0.0,INT,182,1,UDP,25
521,0.0,INT,62,1,UDP,6588
522,0.102,SA_,206,3,TCP,25
523,0.0,INT,133,1,UDP,48927
524,0.0,INT,76,1,UDP,25
525,0.019,FSA_,272,4,TCP,3246
526,0.155,PA_,202,3,TCP,25
527,0.0,INT,81,1,UDP,25
528,0.535,_FSPA,6304,20,TCP,25
529,1.605,S_,186,3,TCP,8888
530,0.009000000000000001,_FSPA,605,3,TCP,42950
531,0.0,INT,81,1,UDP,0
532,0.0,INT,76,1,UDP,25
533,0.0,INT,76,1,UDP,25
534,0.0,INT,129,1,UDP,8080
535,0.0,INT,107,1,UDP,0
536,0.0,A_,66,1,TCP,6667
537,0.0,INT,80,1,UDP,25
538,0.25,A_,120,2,TCP,25
539,0.0,A_,60,1,TCP,25
540,0.196,SPA_,663,4,TCP,37042
541,0.0,INT,74,1,UDP,80
542,0.0,INT,193,1,UDP,50790
543,0.0,PA_,70,1,TCP,25
544,2.002,INT,152,2,UDP,0
545,0.0,INT,619,1,UDP,56737
546,4.957,PA_,6648,100,TCP,25
547,0.0,INT,252,1,UDP,0
548,0.0,INT,72,1,UDP,80
549,0.0,INT,60,1,UDP,0
550,0.0,INT,110,1,UDP,443
551,4.976,PA_,255,4,TCP,3128
552,0.0,INT,242,1,UDP,25
553,0.037000000000000005,PA_,1064,2,TCP,35418
554,0.0,INT,468,1,UDP,25
555,0.0,INT,133,1,UDP,54635
556,2.378,RA_,120,2,TCP,25
557,3.7710000000000004,PA_,968,11,TCP,0
558,0.507,PA_,261,3,TCP,25
559,0.0,A_,60,1,TCP,25
560,0.0,INT,133,1,UDP,1025
561,1.215,RA_,180,3,TCP,25
562,0.0,INT,66,1,UDP,3127
563,0.0,INT,79,1,UDP,25
564,0.0,SA_,126,2,TCP,0
565,0.0,INT,186,1,UDP,25
566,4.967,A_,6534,99,TCP,34230
567,0.0,INT,85,1,UDP,0
568,0.0,PA_,74,1,TCP,25
569,0.0,PA_,103,1,TCP,25
570,0.0,INT,90,1,UDP,25
571,0.0,INT,418,2,UDP,0
572,0.0,INT,60,1,UDP,25
573,0.0,INT,77,1,UDP,53
574,0.37,PA_,371,3,TCP,25
575,0.0,INT,74,1,UDP,25
576,0.0,INT,81,1,UDP,0
577,3.543,SA_,132,2,TCP,35437
578,0.8,FRA_,192,3,TCP,25
579,0.0,INT,177,1,UDP,25
580,0.0,INT,145,1,UDP,58052
581,0.0,INT,327,1,UDP,25
582,0.0,A_,66,1,TCP,25
583,0.0,INT,484,1,UDP,1039
584,0.024,S_,148,2,TCP,25
585,0.009000000000000001,FA_,132,2,TCP,2839
586,0.0,PA_,60,1,TCP,0
587,0.0,FA_,60,1,TCP,6667
588,2.0,INT,1238,2,UDP,0
589,0.0,A_,66,1,TCP,0
590,0.0,INT,60,1,UDP,0
591,0.037000000000000005,PA_,4204,4,TCP,0
592,0.0,A_,60,1,TCP,53
593,0.0,A_,60,1,TCP,25
594,0.001,PA_,379,2,TCP,25
595,0.0,INT,60,1,UDP,25
596,0.0,INT,76,1,UDP,0
597,0.0,INT,182,1,UDP,1039
598,0.134,PA_,202,3,TCP,0
599,0.0,A_,60,1,TCP,1081
600,0.0,INT,86,1,UDP,39831
601,0.0,INT,74,1,UDP,50299
602,0.0,INT,60,1,UDP,25
603,0.0,INT,74,1,UDP,25
604,0.0,INT,81,1,UDP,25
605,0.0,INT,515,1,UDP,8080
606,0.04,PA_,63784,45,TCP,80
607,2.9960000000000004,S_,148,2,TCP,0
608,0.12300000000000001,FSPA_,8628,14,TCP,37996
609,0.0,PA_,107,1,TCP,35763
610,0.0,INT,141,1,UDP,8888
611,0.0,INT,64,1,UDP,0
612,0.136,PA_,3141,4,TCP,42401
613,0.0,INT,60,1,UDP,21
614,0.0,INT,73,1,UDP,25
615,0.0,INT,72,1,UDP,0
616,0.0,A_,60,1,TCP,1025
617,0.0,INT,81,1,UDP,0
618,0.0,INT,75,1,UDP,49735
619,0.8370000000000001,SRPA_,2992,10,TCP,25
620,0.0,PA_,107,1,TCP,25
621,0.0,INT,181,1,UDP,25
622,0.0,INT,79,1,UDP,25
623,0.0,INT,62,1,UDP,0
624,0.0,A_,60,1,TCP,25
625,0.0,INT,81,1,UDP,25
626,3.005,PA_,466,4,TCP,50756
627,0.0,INT,238,1,UDP,25
628,0.0,INT,465,1,UDP,42919
629,1.062,INT,747,3,UDP,0
630,0.0,INT,469,1,UDP,25
631,0.0,INT,153,1,UDP,25
632,0.0,A_,60,1,TCP,3883
633,4.989,PA_,42205444,27880,TCP,25
634,0.0,INT,81,1,UDP,1041
635,2.42,PA_,396,5,TCP,0
636,0.135,PA_,513,2,TCP,53
637,0.002,PA_,689,2,TCP,25
638,0.0,INT,68,1,UDP,21
639,0.0,INT,62,1,UDP,0
640,0.667,INT,703,2,UDP,0
641,4.033,SA_,192,3,TCP,58341
642,0.0,INT,366,1,UDP,0
643,0.0,INT,66,1,UDP,1337
644,1.206,PA_,948,4,TCP,53167
645,0.0,R_,60,1,TCP,0
646,0.155,PA_,432,2,TCP,25
647,0.0,A_,60,1,TCP,8000
648,0.0,INT,153,1,UDP,25
649,0.0,FPA_,296,3,TCP,0
650,0.0,INT,327,1,UDP,51044
651,2.406,PA_,1512,2,TCP,35839
652,0.0,INT,60,1,UDP,0
653,0.0,A_,60,1,TCP,53
654,0.254,PA_,319,3,TCP,25
655,0.0,INT,72,1,UDP,25
656,0.0,INT,74,1,UDP,23
657,0.0,INT,81,1,UDP,39915
658,0.0,PA_,60,1,TCP,80
659,0.0,INT,74,1,UDP,0
660,0.0,INT,133,1,UDP,21
661,2.379,INT,220,2,UDP,25
662,0.0,INT,181,1,UDP,8080
663,2.0,INT,180,2,UDP,36470
664,0.001,PA_,196,3,TCP,25
665,0.0,A_,60,1,TCP,59976
666,0.0,INT,180,1,UDP,60901
667,0.0,ECO,148,2,ICMP,34359
668,0.077,PA_,2224,4,TCP,25
669,0.0,INT,77,1,UDP,25
670,4.728,PA_,258120,180,TCP,5678
671,0.276,PA_,805,4,TCP,25
672,4.916,PA_,11792,63,TCP,37256
673,0.0,INT,418,2,UDP,25
674,0.0,INT,107,1,UDP,58774
675,0.053,SPA_,940,5,TCP,0
676,0.0,INT,175,1,UDP,0
677,0.0,INT,484,1,UDP,0
678,0.222,PA_,639,3,TCP,25
679,0.0,INT,133,1,UDP,5678
680,0.0,INT,133,1,UDP,3128
681,0.0,INT,88,1,UDP,0
682,0.0,INT,60,1,UDP,0
683,0.0,INT,81,1,UDP,0
684,0.0,INT,107,1,UDP,2869
685,0.0,INT,278,1,UDP,41201
